Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
900.00	139.05	12.024	0.083168	18.543	30.108	163.68	24.928	34.209	933.19	-0.76459	49.376	0.085450	supercritical
900.00	140.05	12.080	0.082782	18.540	30.134	163.61	24.935	34.216	935.35	-0.76485	49.464	0.085636	supercritical
900.00	141.05	12.136	0.082401	18.537	30.160	163.55	24.942	34.222	937.51	-0.76511	49.553	0.085822	supercritical
900.00	142.05	12.191	0.082025	18.535	30.186	163.49	24.949	34.229	939.66	-0.76536	49.641	0.086008	supercritical
900.00	143.05	12.247	0.081655	18.532	30.212	163.43	24.956	34.235	941.81	-0.76560	49.730	0.086194	supercritical
900.00	144.05	12.302	0.081289	18.529	30.239	163.37	24.963	34.241	943.95	-0.76583	49.819	0.086380	supercritical
900.00	145.05	12.357	0.080928	18.526	30.265	163.31	24.970	34.248	946.09	-0.76606	49.908	0.086566	supercritical
900.00	146.05	12.411	0.080572	18.523	30.291	163.24	24.977	34.254	948.22	-0.76627	49.997	0.086752	supercritical
900.00	147.05	12.466	0.080221	18.521	30.317	163.18	24.984	34.260	950.35	-0.76648	50.086	0.086938	supercritical
900.00	148.05	12.520	0.079875	18.518	30.344	163.12	24.991	34.266	952.48	-0.76669	50.175	0.087125	supercritical
900.00	149.05	12.573	0.079533	18.516	30.370	163.07	24.998	34.272	954.60	-0.76688	50.264	0.087311	supercritical
900.00	150.05	12.627	0.079195	18.513	30.396	163.01	25.005	34.278	956.72	-0.76707	50.353	0.087497	supercritical
900.00	151.05	12.680	0.078862	18.510	30.422	162.95	25.012	34.284	958.83	-0.76725	50.442	0.087683	supercritical
900.00	152.05	12.733	0.078533	18.508	30.449	162.89	25.019	34.290	960.94	-0.76743	50.532	0.087869	supercritical
900.00	153.05	12.786	0.078209	18.505	30.475	162.83	25.026	34.296	963.04	-0.76760	50.621	0.088055	supercritical
